Location,Source,WMO,Lat,Lon,Altitude
Kodiak Airport,TMY3,703500,57.75,-152.5,5
KOTZEBUE,TMY2-26616,701330,66.87,-162.63,5
MCGRATH,TMY2-26510,702310,62.97,-155.62,103
McGrath,TMY--26510,702310,62.97,-155.62,103
Mcgrath Arpt,TMY3,702310,62.95,-155.6,105
Mekoryuk,TMY3,702185,60.37,-166.27,15
Middleton Island Aut,TMY3,703430,59.47,-146.32,14
Minchumina,TMY3,702460,63.88,-152.28,213
Nenana Municipal Ap,TMY3,702600,64.55,-149.1,109
NOME,TMY2-26617,702000,64.5,-165.43,7
Nome,TMY--26617,702000,64.5,-165.43,7
Nome Municipal Arpt,TMY3,702000,64.52,-165.45,4
Northway Airport,TMY3,702910,62.97,-141.93,522
Palmer Municipal,TMY3,702740,61.6,-149.08,71
Petersburg,TMY3,703860,56.8,-132.95,33
Point Hope  Awos,TMY3,701043,68.35,-166.8,4
Port Heiden,TMY3,703330,56.95,-158.62,29
Saint Mary S  Awos,TMY3,702005,62.07,-163.3,95
Sand Point,TMY3,703165,55.32,-160.52,7
Seward,TMY3,702770,60.12,-149.45,18
Shemya Afb,TMY3,704140,52.72,174.12,31
Shishmaref  Awos,TMY3,701195,66.27,-166.05,2
Skagway Airport,TMY3,703620,59.47,-135.3,9
Soldotna,TMY3,702595,60.47,-151.03,34
ST_PAUL_IS.,TMY2-25713,703080,57.15,-170.22,7
St Paul Island Arpt,TMY3,703080,57.17,-170.22,7
TALKEETNA,TMY2-26528,702510,62.3,-150.1,105
Talkeetna State Arpt,TMY3,702510,62.32,-150.1,105
Togiac Village Awos,TMY3,703606,59.05,-160.4,6
Unalakleet Field,TMY3,702070,63.88,-160.8,5
Valdez Wso,TMY3,702750,61.13,-146.35,7
Whittier,TMY3,702757,60.77,-148.68,9
Wrangell,TMY3,703870,56.48,-132.37,13
YAKUTAT,TMY2-25339,703610,59.52,-139.67,9
Yakutat,TMY--25339,703610,59.52,-139.67,9
Yakutat State Arpt,TMY3,703610,59.52,-139.63,8
Anniston Metropolitan Ap,TMY3,722287,33.58,-85.85,186
BIRMINGHAM,TMY2-13876,722280,33.57,-86.75,192
Birmingham,TMY--13876,722280,33.57,-86.75,192
Birmingham Municipal Ap,TMY3,722280,33.57,-86.75,189
Dothan Municipal Ap,TMY3,722268,31.23,-85.43,98
Gadsen Muni  Awos,TMY3,722285,33.97,-86.08,173
HUNTSVILLE,TMY2-03856,723230,34.65,-86.77,190
Maxwell Afb,TMY3,722265,32.38,-86.35,53
MOBILE,TMY2-13894,722230,30.68,-88.25,67
MONTGOMERY,TMY2-13895,722260,32.3,-86.4,62
Muscle Shoals Regional Ap,TMY3,723235,34.75,-87.6,165
Tuscaloosa Municipal Ap,TMY3,722286,33.22,-87.62,51
Batesville  Awos,TMY3,723448,35.73,-91.65,141
Bentonville  Awos,TMY3,723444,36.35,-94.22,395
Flippin  Awos,TMY3,723447,36.3,-92.47,350
FORT_SMITH,TMY2-13964,723440,35.33,-94.37,141
Fort Smith,TMY--13964,723440,35.33,-94.37,141
Fort Smith Regional Ap,TMY3,723440,35.33,-94.37,137
Harrison Faa Ap,TMY3,723446,36.27,-93.15,419
Jonesboro Muni,TMY3,723407,35.83,-90.65,82
LITTLE_ROCK,TMY2-13963,723405,34.73,-92.23,81
Little Rock Afb,TMY3,723405,34.92,-92.15,103
Pine Bluff Faa Ap,TMY3,723417,34.17,-91.93,63
Rogers  Awos,TMY3,723449,36.37,-94.1,415
Siloam Spring Awos,TMY3,723443,36.18,-94.48,364
Stuttgart  Awos,TMY3,723416,34.6,-91.57,68
Walnut Ridge  Awos,TMY3,723406,36.13,-90.92,83
Casa Granda  Awos,TMY3,722748,32.95,-111.77,446
Grand Canyon Natl P,TMY3,723783,35.95,-112.15,2065
Kingman  Amos,TMY3,723700,35.27,-113.95,1033
Luke Afb,TMY3,722785,33.55,-112.37,331
Page Muni  Amos,TMY3,723710,36.93,-111.45,1304
PHOENIX,TMY2-23183,722780,33.43,-112.02,339
PRESCOTT,TMY2-23184,723723,34.65,-112.43,1531
Safford  Amos,TMY3,722747,32.82,-109.68,950
TUCSON,TMY2-23160,722740,32.12,-110.93,779
Tucson,TMY--23160,722740,32.12,-110.93,779
Tucson International Ap,TMY3,722740,32.13,-110.95,777
Winslow,TMY--23194,723740,35.03,-110.71,1490
Winslow Municipal Ap,TMY3,723740,35.03,-110.72,1490
Yuma,TMY--23195,722800,32.66,-114.6,62
Yuma Intl Arpt,TMY3,722800,32.67,-114.6,63
Yuma Mcas,TMY3,699604,32.65,-114.62,65
ARCATA,TMY2-24283,725945,40.98,-124.1,69
Arcata/Eureka,TMY--24283,725945,40.98,-124.1,66
Arcata Airport,TMY3,725945,40.98,-124.1,62
BAKERSFIELD,TMY2-23155,723840,35.42,-119.05,150
Barstow/Daggett,TMY--23161,723815,34.85,-116.78,587
Daggett Barstow Daggett Ap,TMY3,723815,34.85,-116.8,586
Beale Afb,TMY3,724837,39.13,-121.43,38
Bishop Airport,TMY3,724800,37.37,-118.35,1250
Blue Canyon Ap,TMY3,725845,39.3,-120.72,1609
Camarillo  Awos,TMY3,723926,34.22,-119.08,23
Camp Pendleton Mcas,TMY3,722926,33.3,-117.35,23
Carlsbad Palomar,TMY3,722927,33.13,-117.28,100
Edwards Afb,TMY3,723810,34.9,-117.87,706
El Toro MCAS,TMY--93101,690140,33.66,-117.73,116
FRESNO,TMY2-93193,723890,36.77,-119.72,100
Fresno,TMY--93193,723890,36.77,-119.72,100
Fresno Yosemite Intl Ap,TMY3,723890,36.78,-119.72,102
Fullerton Municipal,TMY3,722976,33.87,-117.98,29
Hayward Air Term,TMY3,724935,37.67,-122.12,14
Imperial,TMY3,747185,32.83,-115.58,-17
Lemoore Reeves Nas,TMY3,747020,36.33,-119.95,73
Livermore Municipal,TMY3,724927,37.7,-121.82,121
Lompoc  Awos,TMY3,722895,34.67,-120.47,27
LONG_BEACH,TMY2-23129,722970,33.82,-118.15,17
LOS_ANGELES,TMY2-23174,722950,33.93,-118.4,32
Los Angeles,TMY--23174,722950,33.93,-118.4,32
Los Angeles Intl Arpt,TMY3,722950,33.93,-118.4,30
March Afb,TMY3,722860,33.9,-117.25,462
Modesto City County Ap,TMY3,724926,37.63,-120.95,30
Monterey Naf,TMY3,724915,36.6,-121.87,50
Mount Shasta,TMY--24215,725957,41.33,-122.33,1077
Napa Co  Airport,TMY3,724955,38.22,-122.28,10
Oakland,TMY--23230,724930,37.71,-122.21,1
Oakland Metropolitan Arpt,TMY3,724930,37.72,-122.22,2
Palm Springs Intl,TMY3,722868,33.83,-116.5,145
Paso Robles Municipal Arpt,TMY3,723965,35.67,-120.63,244
Oxnard/Point Mugu NF,TMY--93111,723910,34.11,-119.11,3
Point Mugu Nf,TMY3,723910,34.12,-119.12,3
Porterville  Awos,TMY3,723895,36.03,-119.07,135
Red Bluff,TMY--24216,725910,40.15,-122.25,106
Red Bluff Municipal Arpt,TMY3,725910,40.15,-122.25,106
Redding Municipal Arpt,TMY3,725920,40.52,-122.32,153
Riverside Muni,TMY3,722869,33.95,-117.45,256
Sacramento/Mather Fiel,TMY--23232,724830,38.55,-121.3,29
Sacramento Executive Arpt,TMY3,724830,38.5,-121.5,5
Sacramento Metropolitan Ap,TMY3,724839,38.7,-121.58,7
Salinas Municipal Ap,TMY3,724917,36.67,-121.6,21
SAN_DIEGO,TMY2-23188,722900,32.73,-117.17,9
SAN_FRANCISCO,TMY2-23234,724940,37.62,-122.38,5
San Francisco,TMY--23234,724940,37.62,-122.38,5
San Francisco Intl Ap,TMY3,724940,37.62,-122.4,2
San Jose Intl Ap,TMY3,724945,37.37,-121.93,16
San Luis Co Rgnl,TMY3,722897,35.23,-120.63,66
Sandberg,TMY3,723830,34.75,-118.72,1377
Santa Barbara Municipal Ap,TMY3,723925,34.43,-119.85,3
SANTA_MARIA,TMY2-23273,723940,34.9,-120.45,72
Santa Maria,TMY--23273,723940,34.9,-120.45,73
Santa Maria Public Arpt,TMY3,723940,34.92,-120.47,77
Santa Rosa  Awos,TMY3,724957,38.52,-122.82,38
Stockton Metropolitan Arpt,TMY3,724920,37.9,-121.23,7
Truckee Tahoe,TMY3,725846,39.32,-120.13,1798
